id,Date,MSFT,AMZN,TSLA,GOOGL,GOOG,UNH,JNJ,XOM,JPM,META,V,PG,NVDA,HD,CVX,LLY,MA,ABBV,PFE,MRK,PEP,BAC,KO,COST,AVGO,TMO,WMT,CSCO,MCD,ACN,ABT,DIS,DHR,WFC,BMY,LIN,NEE,TXN,ADBE,VZ,CMCSA,PM,COP,AMGN,RTX,HON,CRM
0,12/4/2018,103.9640274,83.41999817,23.97999954,53.12350082,52.54100037,262.3858948,131.415802,63.60429001,94.88667297,137.9299927,135.0558167,84.30409241,38.98970413,159.2993164,97.78858948,108.5560837,196.1938171,74.58781433,36.97868347,65.80442047,104.367157,24.50425911,43.75252533,213.5188599,200.6337891,241.6013947,89.36306,41.93451691,168.5604706,155.5317078,67.06250763,110.6489716,104.5640106,46.13063049,45.87177277,149.8264008,41.83533096,86.28900909,245.8200073,48.42946243,34.56605911,68.02149963,58.32089615,175.6101685,68.98845673,131.6284332,139.2400055
1,12/6/2018,104.605896,84.95950317,24.20400047,53.90399933,53.43650055,260.7845459,131.3077698,62.77148438,93.08151245,139.6300049,137.4034882,84.52092743,39.28253937,159.8990936,96.67925262,107.9225616,198.6402283,74.40661621,36.84760666,65.93902588,104.338562,23.99299049,43.57602692,219.9805145,196.4834595,239.7687683,88.87541199,42.85557175,168.9339447,150.8338165,67.10005188,112.080246,103.1475296,45.51592255,46.94736862,145.3082581,41.9478569,87.37535858,250.6300049,48.42113113,34.74031448,67.91004944,58.05073166,176.7201996,69.3194809,130.5952301,142.0599976
2,12/7/2018,100.4193573,81.45649719,23.86466789,52.32899857,51.82899857,253.5596313,130.8757935,62.17092133,91.40021515,137.4199982,133.5653687,83.52708435,36.6321106,157.0183868,96.32892609,105.8170166,192.2893524,71.63066864,35.97927094,64.55076599,103.4277039,23.21696663,43.32010651,212.1133423,197.6247864,233.6467438,87.39367676,41.12860107,166.6656952,149.1289825,65.6087265,110.6279984,100.2063599,44.77647781,46.79748154,142.2713165,41.99378204,82.94015503,238,48.08764267,34.30927277,67.32878876,57.44068146,169.9980469,68.17796326,127.96595,135.9499969
3,12/10/2018,103.0730515,82.05149841,24.34333229,52.6590004,51.97750092,251.063446,130.7228394,61.29010773,89.69237518,141.8500061,134.3154449,84.05112457,37.68682098,156.0188141,95.87018585,106.2921753,193.8158722,72.16608429,36.37247467,65.13973236,103.75811,22.60527229,43.45248795,210.0380096,206.8679352,234.8553467,88.09703827,41.50055695,168.2051849,149.3846893,66.51852417,110.5094376,100.058815,43.4757576,46.35667419,146.1746674,41.93638229,84.21504974,244.0899963,48.57953644,34.25423813,67.05807495,56.82190704,172.3512421,68.15513611,127.264801,137.2700043
4,12/11/2018,104.0310898,82.16200256,24.45066643,53.08250046,52.58750153,251.7133484,131.8387299,61.40222549,88.81633759,142.0800018,133.2731323,84.84617615,36.77604675,156.4913788,96.31224823,106.6741333,193.5027313,72.62737274,36.05298996,64.87889862,104.7404251,22.44093323,43.71721649,213.6603394,213.4306335,235.2713928,88.01263428,41.70425797,167.2395782,149.934021,67.38143921,110.6181183,99.66537476,42.54922485,46.22443008,146.6869965,42.02134705,84.87944031,245.3399963,49.06307602,33.78652191,67.14566803,57.03107071,174.2071838,67.88116455,126.2131042,136.7899933
5,12/12/2018,104.5005035,83.17700195,24.44000053,53.68650055,53.18399811,254.9349213,132.3786926,60.87371445,89.39151001,144.5,134.2375488,84.95459747,36.95224762,158.3087769,96.43735504,106.5250854,195.9980927,72.98156738,36.17586517,65.63613129,104.4814453,22.38615417,43.43483353,214.8866882,220.4689178,239.0059814,87.31866455,41.99651337,167.1393738,150.2371063,68.02859497,110.855217,100.3637619,42.53141785,47.11487961,149.5656128,41.63783264,86.01964569,245.5500031,47.72916031,33.91490936,66.73957825,56.88290787,174.411377,68.29780579,127.5784836,140.0899963
6,12/13/2018,104.8549805,82.91899872,25.11933327,53.67699814,53.09500122,256.3572693,133.044632,61.64243317,89.48000336,145.0099945,133.9842224,87.17717743,36.94976425,157.9998169,96.70426941,107.0095291,194.6966248,72.24845886,36.51174164,66.47753143,105.6869888,22.27659798,43.65544891,213.6697693,223.3395386,239.2536469,87.17798615,42.04079056,169.8266449,151.7809448,67.70032501,112.0209656,100.8260727,41.89887238,47.2912178,147.2739258,41.84223557,86.04658508,248.0800018,47.59576416,33.7131424,67.15362549,57.63240051,175.4059906,68.06381226,128.0674744,141.1399994
7,12/14/2018,101.5785446,79.59549713,24.38066673,52.58549881,52.10499954,249.6410217,119.6897888,60.52137375,88.74554443,144.0599976,131.5975952,87.31269073,36.34422302,156.5640411,94.9443512,104.2798004,191.1443787,70.5186615,35.88095856,64.79988861,101.757782,22.34963417,43.54072952,195.3223572,220.3392029,232.155838,86.1370163,40.57950211,166.9663086,147.3104248,66.36846161,110.8453369,98.76036835,41.46233368,45.95111084,146.1932526,41.62176514,84.62805176,230,47.58743286,33.32796097,65.68856049,56.2554512,170.5575104,67.8069458,125.871788,137.0399933
8,12/17/2018,98.57038879,76.04550171,23.22800064,51.28250122,50.82649994,243.0943604,116.2160721,59.28819656,87.61288452,140.1900024,128.0029449,83.81620026,35.63198471,152.6383667,93.79328918,100.953804,186.3689575,69.95851898,35.31571198,63.74080658,100.793335,22.34050751,42.64943695,190.7661438,219.7339478,226.8820343,85.12421417,39.14478302,164.6889496,143.6543884,65.42113495,109.2844162,98.73086548,41.52469635,44.8931427,147.3405151,40.3380127,82.52716827,221.3800049,46.64535141,33.2087326,64.81272888,55.00919342,168.7903442,65.81500244,123.9713593,130.8300018
9,12/18/2018,99.60504913,77.5739975,22.46866608,52.17050171,51.4355011,238.2902985,117.3679733,57.65465164,87.19699097,143.6600037,129.2303925,83.56323242,36.46583939,154.5194244,91.53292084,99.22092438,187.5041046,68.84649658,34.73406982,62.97825623,99.87355042,22.34050751,42.64060974,191.483078,218.1524353,228.2996063,85.41493225,39.02079391,163.7051392,144.0995483,65.73064423,108.1285324,99.07514191,41.44451141,45.45739746,147.6026917,40.41838455,84.87944031,226.1799927,46.3952446,32.69515228,59.8522377,53.95467377,166.1441803,66.08324432,124.7093582,132.3200073
10,12/19/2018,99.33680725,74.7539978,22.19799995,51.77299881,51.15050125,235.7846222,114.8391876,56.67772293,86.09088898,133.2400055,127.8666153,82.90368652,34.37377548,152.2657928,89.93979645,101.6525497,183.1103058,68.79707336,34.38181686,62.50379562,98.2661438,22.07574081,42.26998138,189.9925995,213.1020813,226.3764801,84.91788483,38.20602417,163.2041168,142.9819336,64.71767426,107.9013214,99.00629425,40.68725586,44.42588043,145.93573,40.07850647,81.27921295,224.6499939,46.57032394,32.27327728,58.24335861,53.40562439,164.7144775,64.95314789,122.9380951,131.1600037
11,12/20/2018,97.24832916,73.04149628,21.0253334,51.17900085,50.47050095,228.3713226,115.4331436,54.95609665,85.3475647,133.3999939,125.4312439,82.19898224,33.52751923,149.1761169,87.56266785,101.8202286,178.7948303,70.320961,34.36543655,62.26654816,98.41794586,22.01183891,41.95228958,185.9552612,211.3545532,217.7520142,81.85128021,37.63036728,158.2121735,135.9161987,64.1361618,105.7081223,96.75369263,41.01688766,44.1349411,144.2687531,40.16807556,80.88417053,218.6499939,45.91169357,31.75052071,55.8502388,52.29009628,164.2438202,62.56734085,120.5487061,127.7300034
12,12/21/2018,94.10603333,68.87249756,21.31800079,49.5625,48.97700119,224.5092316,115.2711487,54.54771805,83.33000946,124.9499969,121.0475693,82.18994904,32.15515137,145.8320313,86.92041016,101.9413376,171.4359894,69.95029449,34.34905624,61.76664352,97.71247101,21.33623505,41.97876358,183.4932251,213.9933167,213.9156494,81.71060944,37.0635643,158.6403046,129.9491577,63.09503555,102.9616928,96.87171936,40.19726181,43.92334366,143.3884735,39.9843483,81.17147827,208.8000031,45.78664398,30.95262718,53.52987289,52.11579514,160.0258484,60.60390472,119.4139786,122.9100037
13,12/24/2018,90.17816162,67.19799805,19.69266701,49.23350143,48.81100082,219.4226227,110.5465393,52.45772552,81.53370667,124.0599976,118.5829926,78.92836761,31.53721237,143.7055817,84.23464966,99.45384216,170.9075317,69.32426453,33.21855545,60.28392029,94.68519592,20.75193024,40.55800247,179.2200317,204.2858582,206.6592407,80.48207092,35.67312622,155.1149902,126.6057205,61.49117279,99.13841248,93.30101013,38.84309006,42.98880005,138.7246246,38.59955597,78.82816315,205.1600037,44.2276268,30.32899284,53.33584213,49.68431854,158.4186096,58.25234604,115.1610565,121.3300018
14,12/26/2018,96.33821106,73.54499817,21.7393322,52.39250183,51.97299957,229.2285614,114.0292587,54.96410751,84.91397858,134.1799927,126.8632202,81.39486694,33.03118134,152.9200745,89.57281494,103.4972153,182.4350891,73.34401703,34.56204605,62.69865799,96.73910522,22.01183891,41.4228096,187.3702087,216.815567,216.0766907,84.78660583,37.61265182,158.5309906,131.6634369,65.29920959,104.5522537,98.32757568,40.61598587,44.10848618,143.0419617,39.11857224,83.47885132,222.9499969,45.38646317,31.31030655,54.05539703,53.59736252,166.818985,60.50687027,119.5339355,130.8399963
